name,lat,lon,type,id,amenity,shop,tourism
"Yusuf Akçura","39.9030706","32.6397495","node","10616753962","","","artwork"
"Komagene","39.8743005","32.833831","node","10671604759","fast_food","",""
"Şirinyel Kütüphane Kafe","39.9204598","32.8559029","node","10690451705","cafe","",""
"Gıyma Kebap","39.9224793","32.8177422","node","10712115308","restaurant","",""
"İLO Adana Kebapçısı","39.9225976","32.8172463","node","10715959905","restaurant","",""
"% Arabica","39.9602176","32.711304","node","10725705098","cafe","",""
"Daphne","39.959519","32.7133754","node","10770739151","cafe","",""
"Jojowa","39.9596862","32.713481","node","10770739152","cafe","",""
"Dayı Kürek Lahmacun","39.9608908","32.7094594","node","10770739154","restaurant","",""
"Divan Brasserie Çengelhan","39.9374808","32.8632942","node","10778181411","restaurant","",""
"Rahmi M. Koç Müzesi","39.9372045","32.8634637","node","10778181415","","","museum"
"Şenyurt Fırın","39.9928473","32.8776934","node","10783399258","","bakery",""
"Simitçi Dünyası","39.9546166","32.8314668","node","10784200549","","bakery",""
"Şampion Döner","39.9919284","32.799959","node","10874599138","cafe","",""
"Müjgan Bestekar","39.9096408","32.8586011","node","10882105305","bar","",""
"Gençler Dondurma","39.961253","32.7879255","node","10892774697","ice_cream","",""
"Gençler Pastane","39.9611262","32.7878433","node","10892774698","","pastry",""
"Gençler Pastane","39.9633479","32.7903143","node","10892774699","","pastry",""
"Ekleristan","39.9606498","32.790942","node","10892776919","","pastry",""
"Taksim Ekmek Fırını","39.9679256","32.7901523","node","10892776923","","bakery",""
"Yaprak Döner","39.9690679","32.7845667","node","10892776925","fast_food","",""
"Mado","39.9618619","32.7696045","node","10892776932","cafe","",""
"Starbucks","39.9618981","32.7711859","node","10892776933","cafe","",""
"Demlik","39.9623015","32.7697595","node","10892776936","cafe","",""
"Burger King","39.9620375","32.7700722","node","10892776939","fast_food","",""
"Sbarro","39.9620928","32.7699949","node","10892776940","fast_food","",""
"Burger King","39.9669553","32.793118","node","10892776969","fast_food","",""
"Merkez Lokantası","39.9674409","32.7914014","node","10892776972","restaurant","",""
"Simitçi Baba","39.9613382","32.781513","node","10892777206","cafe","",""
"Kahvehall","39.958136","32.7909482","node","10892777239","cafe","",""
"Yaprak Dönercisi","39.9660343","32.7930569","node","10892777253","restaurant","",""
"Meşhur Adiyaman Çiğköftecisi Bayram Usta Alsancak","39.9339831","32.6499155","node","10902312071","restaurant","",""
"Heva Pastanesi","39.9343312","32.6479726","node","10902363217","restaurant","",""
"Last Penny","39.9275026","32.8275122","node","10916076542","pub","",""
"Arzu Pide Kebap","39.973887","32.9636176","node","10918255723","restaurant","",""
"Arabica Kitchen","39.8189318","32.5631828","node","10961115857","restaurant","",""
"% Arabica","39.8187037","32.5629712","node","10961121931","cafe","",""
"Sarı","39.8180478","32.5613709","node","10961121932","restaurant","",""
"Yemekhane","39.8200434","32.5639836","node","10961121933","fast_food","",""
"Castello","39.9315986","32.8284073","node","10967868412","fast_food","",""
"Caribou Coffee","39.9182914","32.8555088","node","11008039209","cafe","",""
"Tahinli pide","38.9380756","33.5382959","node","11008622105","restaurant","",""
"Gabo Kitchen Ankara","39.9245327","32.8289193","node","11011451353","restaurant","",""
"Su Kulesi Tost Evi - Ali'nin Yeri","40.2061455","32.6831152","node","11029448573","fast_food","",""
"Durak Piknik Hicabi'nin Yeri","40.2386353","32.6895162","node","11029449041","restaurant","",""
"Grano","39.8921413","32.7884561","node","11033893209","cafe","",""
"Central","39.8932219","32.7958181","node","11033909657","restaurant","",""
"Locus Coffee Roastery","39.8500429","32.7063863","node","11061455147","cafe","",""
"Starbucks","39.9602017","32.7113677","node","11067029199","cafe","",""
"MisBaşak","39.8792296","32.842369","node","11093193963","","bakery",""
"MisBaşak","39.8727293","32.8416731","node","11093193965","","bakery",""
"Sim Dondurma","39.9212986","32.8265825","node","11093270879","ice_cream","",""
"Starbucks","39.9234987","32.8259546","node","11093270880","cafe","",""
"Gloria Jean's","39.9248252","32.8258405","node","11093270881","cafe","",""
"Starbucks","39.9320797","32.8260203","node","11093270882","cafe","",""
"Kahve Dünyası","39.91893","32.827284","node","11093270883","cafe","",""
"Subway","39.9190894","32.8274999","node","11093270884","fast_food","",""
"Atatürk Büstü","39.9340206","32.8175487","node","11097075213","","","artwork"
"Burger King","39.9407932","32.8550596","node","11099994790","fast_food","",""
"Ankara Döner","39.941109","32.8550566","node","11099994791","restaurant","",""
"Colambia Coffee","39.9176594","32.8563272","node","11107431219","cafe","",""
"Carmelo Coffee","39.9180267","32.8555687","node","11107454239","cafe","",""
"Dr. Falafel","39.9173491","32.8575731","node","11111467704","restaurant","",""
"Meydan 1957","39.9372887","32.8638863","node","11111952610","fast_food","",""
"Müze'nin Kahvesi","39.9385917","32.8621545","node","11111952619","cafe","",""
"Burger King","39.9344889","32.8432358","node","11114348202","fast_food","",""
"Popeyes","39.9345878","32.8432169","node","11114348203","fast_food","",""
"Lezzet-i Halis Gurme - Şarküteri","39.8565991","32.6454995","node","11117433261","restaurant","",""
"Süha  Döner & Köfteci","39.9130997","32.8594789","node","11126851184","restaurant","",""
"Mustafa Kemal Atatürk","39.8600228","32.6440242","node","11132294790","","","artwork"
"Çakraz Balık ve Karadeniz Mutfağı","39.9001826","32.8175521","node","11149483601","restaurant","",""
"Hamsi","39.9058365","32.8163881","node","11149483603","restaurant","",""
"Backhouse Grunge&Rock Bar","39.9227454","32.8560311","node","11160806107","bar","",""
"Fer'iştah","39.8703939","32.6647248","node","11164893230","restaurant","",""
"Zemhery","39.8543445","32.6567356","node","11169230787","","bakery",""
"Mirita Dondurma","39.8541644","32.656827","node","11169230788","ice_cream","",""
"McDonald's","39.8542457","32.6568779","node","11169230789","fast_food","",""
"Chinabox","39.8540457","32.6563379","node","11169230794","restaurant","",""
"Caffé di Toeé","39.8540812","32.6562444","node","11169230795","cafe","",""
"Doğan Kaymaklı","39.8541164","32.6561348","node","11169230796","restaurant","",""
"Arabica","39.8537114","32.6561221","node","11169230797","cafe","",""
"Öz Urfalım","39.8537403","32.6559872","node","11169230798","restaurant","",""
"Springfield Cajun Corner","39.853848","32.6558608","node","11169230799","fast_food","",""
"Burger Station","39.8537928","32.6559223","node","11169230800","fast_food","",""
"Teras Balık Restoran","39.8537391","32.6558932","node","11169230801","restaurant","",""
"Double Zero","39.85388","32.6557755","node","11169230802","restaurant","",""
"Starbucks","39.862624","32.7364428","node","11169497178","cafe","",""
"Coffee Break","39.8625124","32.7357513","node","11169497179","cafe","",""
"Felicita","39.829401","32.6603645","node","11178388011","cafe","",""
"World of Coffee","39.8508322","32.6015289","node","11200099944","cafe","",""
"Astare Simit Cafe","39.8795553","32.6638835","node","11203000954","cafe","",""
"Astare Pide & Kebap & Çorba","39.8796672","32.6640147","node","11203000957","restaurant","",""
"Junk Vegan","39.9086358","32.8584527","node","11203817921","restaurant","",""
"IF Sokak Tunus","39.9080425","32.8584011","node","11203817922","pub","",""
"Kuş Sütü Meze Evi","39.9045701","32.8529537","node","11203817928","restaurant","",""
"Mutlu Döner","39.9042944","32.8529135","node","11203817930","restaurant","",""
"İclal","39.9033644","32.8529189","node","11203817936","restaurant","",""
"Waffle's Land","39.8711","32.8258089","node","11203819491","cafe","",""
"Maraşlı Doğan Usta Dondurmacı","39.8712699","32.8294688","node","11203819500","ice_cream","",""
"Kadayıfçı Abdullah","39.870783","32.8293642","node","11203819502","restaurant","",""
"Burger King","39.873179","32.8329518","node","11203819512","fast_food","",""
"Alaturka Döner Pide","39.8736499","32.8333806","node","11203819534","restaurant","",""
"Dikmen Sandwich","39.8759904","32.8355715","node","11203819565","restaurant","",""
"Feriştah Çiğ Köfte","39.8764257","32.8355299","node","11203819568","restaurant","",""
"Bakalım N'olcak","39.8766182","32.8357592","node","11203819569","restaurant","",""
"Mustafa Kemal Atatürk","39.8565343","32.6545676","node","11206338413","","","artwork"
"Meydan Piknik","39.8698335","32.827497","node","11206702641","restaurant","",""
"İzmir Kumrucusu Sandviç & Tost","39.8698546","32.8275775","node","11206702642","restaurant","",""
"Adıyaman Çiğ Köftecisi","39.8698952","32.8276653","node","11206702644","restaurant","",""
"Angara Kumpircisi","39.876749","32.8358823","node","11206702658","restaurant","",""
"Fenese Pide","39.8768535","32.8359815","node","11206702660","restaurant","",""
"McDonald's","39.877226","32.8363101","node","11206702665","fast_food","",""
"Varol Simit Sarayı","39.8775615","32.8370276","node","11206702667","restaurant","",""
"Mustafa Kemal Atatürk","39.8497809","32.6448685","node","11208102664","","","artwork"
"Mustafa Kemal Atatürk","39.8504526","32.6452046","node","11208102665","","","artwork"
"Kokomet","39.871023","32.6593087","node","11212093331","restaurant","",""
"seda nakare","39.9167921","32.8556256","node","11212859339","cafe","",""
"% Arabica","39.9187959","32.8562405","node","11226532727","cafe","",""
"Botanik Kütüphane Kafe","39.8966946","32.705226","node","11227866842","cafe","",""
"Prof. Dr. Süleyman Sağlam Büstü","39.8681201","32.7301226","node","11238024256","","","artwork"
"Atatepe Kafe","39.8679346","32.7318694","node","11238051583","restaurant","",""
"Geyik Cafe Bistro","39.868801","32.7321789","node","11259833597","cafe","",""
"Cafe Puzzle barbekü","39.8936823","32.8785255","node","11262022274","fast_food","",""
"Miso Ramen Ankara","39.9110907","32.8589659","node","11262814983","restaurant","",""
"Nico Coffee and Creative","39.8947806","32.8799087","node","11262875880","cafe","",""
"Double Zero Pizzeria","39.89195","32.8741306","node","11262892676","restaurant","",""
"Adıyaman Çiğköfte","39.9324318","32.6320126","node","11264887708","fast_food","",""
"New Jersey Coffee House","39.9044632","32.8587829","node","11271984486","cafe","",""
"Work Inn","39.8703995","32.7041033","node","11300430170","fast_food","",""
"% Arabica","39.9581163","32.816934","node","11360660582","cafe","",""
"Çedene Lokantası","39.9095457","32.8177821","node","11366992184","restaurant","",""
